nohup: ignoring input
Device running: cuda
Namespace(n_neurons=200, n_layers=6, epochs=500, batchsize=10192, lr=5e-05, no_decay=False, decay_rate=0.8, decay_at_interval=True, decay_interval=15, datapath='sklearn_isabel_gmm_gpu3.vti', outpath='./models/', exp_path='../logs/', modified_data_path='./data/', dataset_name='3d_data', vti_name='teardrop_sgmm_predicted_vti', vti_path='./data/')

Learning Rate: 5e-05
Batch Size: 10192
Decay Rate: 0.8
Max Epochs: 500
Number of Neurons per Layer: 200
Number of Layers (including input/output): 8
Data Path: sklearn_isabel_gmm_gpu3.vti
Output Path: ./models/
Dataset Name: 3d_data
Vti Name: teardrop_sgmm_predicted_vti
3125000
[array([-1676.6178   , -1997.4468   , -1647.117    , ...,     8.314984 ,
           8.127284 ,     6.0436397], dtype=float32), array([ 440.27466 , -107.938805,  313.3958  , ...,   13.504286,
         12.622265,   11.498494], dtype=float32), array([2243.4917  , 1847.7108  , 2308.378   , ...,   18.162405,
         17.097784,   17.064579], dtype=float32), array([1191.2511   , 1069.7479   , 1168.394    , ...,    2.6560624,
          3.1407812,    3.5096657], dtype=float32), array([919.5287   , 916.3277   , 855.53613  , ...,   2.264912 ,
         2.2893407,   2.6477153], dtype=float32), array([1436.8737   , 1185.6395   , 1059.8845   , ...,    2.7700145,
          2.968583 ,    3.4985223], dtype=float32), array([0.3877157 , 0.22362597, 0.3116703 , ..., 0.3493764 , 0.32889584,
       0.18636838], dtype=float32), array([0.39394596, 0.4762831 , 0.44297755, ..., 0.43543246, 0.3860417 ,
       0.44897652], dtype=float32), array([0.21833834, 0.3000909 , 0.24535213, ..., 0.21519114, 0.28506246,
       0.3646551 ], dtype=float32)]
-1.0 1.0
(3125000, 3)
Dataset Name: 3d_data
Total Variables: 9
Variables Name: ['GMM_Mean0', 'GMM_Mean1', 'GMM_Mean2', 'GMM_Std0', 'GMM_Std1', 'GMM_Std2', 'GMM_Weight0', 'GMM_Weight1', 'GMM_Weight2']

Total Points in Data: 3125000
Dimension of the Dataset: (250, 250, 50)
Number of Dimensions: 3
Coordinate Tensor Shape: torch.Size([3125000, 3])
Scalar Values Tensor Shape: torch.Size([3125000, 9])

###### Data setup is complete, now starting training ######


========================================
Training with 150 neurons
========================================
{'total_vars': 9, 'dim': 3, 'n_neurons': 150, 'n_layers': 8}
MyResidualSirenNet(
  (net_layers): ModuleList(
    (0): SineLayer(
      (linear): Linear(in_features=3, out_features=150, bias=True)
    )
    (1-6): 6 x ResidualSineLayer(
      (linear_1): Linear(in_features=150, out_features=150, bias=True)
      (linear_2): Linear(in_features=150, out_features=150, bias=True)
    )
    (7): Linear(in_features=150, out_features=9, bias=True)
  )
)
Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    lr: 5e-05
    maximize: False
    weight_decay: 0
)
MSELoss()
Epoch: 1/500 | Train Loss: 0.137935 | Time: 15.32s | LR: 5e-05
Epoch: 2/500 | Train Loss: 0.116350 | Time: 14.67s | LR: 5e-05
Epoch: 3/500 | Train Loss: 0.115193 | Time: 14.04s | LR: 5e-05
Epoch: 4/500 | Train Loss: 0.114772 | Time: 14.65s | LR: 5e-05
Epoch: 5/500 | Train Loss: 0.114508 | Time: 14.58s | LR: 5e-05
Epoch: 6/500 | Train Loss: 0.114229 | Time: 14.47s | LR: 5e-05
Epoch: 7/500 | Train Loss: 0.114085 | Time: 14.89s | LR: 5e-05
Epoch: 8/500 | Train Loss: 0.113933 | Time: 14.7s | LR: 5e-05
Epoch: 9/500 | Train Loss: 0.113773 | Time: 15.08s | LR: 5e-05
Epoch: 10/500 | Train Loss: 0.113742 | Time: 15.21s | LR: 5e-05
Epoch: 11/500 | Train Loss: 0.113617 | Time: 15.56s | LR: 5e-05
Epoch: 12/500 | Train Loss: 0.113672 | Time: 15.49s | LR: 4e-05
Epoch: 13/500 | Train Loss: 0.113343 | Time: 15.79s | LR: 4e-05
Epoch: 14/500 | Train Loss: 0.113316 | Time: 15.57s | LR: 4e-05
Epoch: 15/500 | Train Loss: 0.113243 | Time: 14.94s | LR: 4e-05
Epoch: 16/500 | Train Loss: 0.113249 | Time: 14.64s | LR: 3.2000000000000005e-05
Epoch: 17/500 | Train Loss: 0.112949 | Time: 15.81s | LR: 3.2000000000000005e-05
Epoch: 18/500 | Train Loss: 0.112992 | Time: 16.37s | LR: 2.5600000000000006e-05
Epoch: 19/500 | Train Loss: 0.112670 | Time: 14.98s | LR: 2.5600000000000006e-05
Epoch: 20/500 | Train Loss: 0.112555 | Time: 15.36s | LR: 2.5600000000000006e-05
Epoch: 21/500 | Train Loss: 0.112517 | Time: 16.01s | LR: 2.5600000000000006e-05
Epoch: 22/500 | Train Loss: 0.112508 | Time: 15.73s | LR: 2.5600000000000006e-05
Epoch: 23/500 | Train Loss: 0.112407 | Time: 15.96s | LR: 2.5600000000000006e-05
Epoch: 24/500 | Train Loss: 0.112375 | Time: 14.98s | LR: 2.5600000000000006e-05
Epoch: 25/500 | Train Loss: 0.112370 | Time: 14.53s | LR: 2.5600000000000006e-05
Epoch: 26/500 | Train Loss: 0.112232 | Time: 15.88s | LR: 2.5600000000000006e-05
Epoch: 27/500 | Train Loss: 0.112192 | Time: 14.81s | LR: 2.5600000000000006e-05
Epoch: 28/500 | Train Loss: 0.112150 | Time: 15.56s | LR: 2.5600000000000006e-05
Epoch: 29/500 | Train Loss: 0.112156 | Time: 14.68s | LR: 2.0480000000000007e-05
Epoch: 30/500 | Train Loss: 0.111803 | Time: 15.39s | LR: 2.0480000000000007e-05
Epoch: 31/500 | Train Loss: 0.111777 | Time: 15.49s | LR: 1.6384000000000008e-05
Epoch: 32/500 | Train Loss: 0.111491 | Time: 15.46s | LR: 1.6384000000000008e-05
Epoch: 33/500 | Train Loss: 0.111401 | Time: 15.41s | LR: 1.6384000000000008e-05
Epoch: 34/500 | Train Loss: 0.111292 | Time: 15.53s | LR: 1.6384000000000008e-05
Epoch: 35/500 | Train Loss: 0.111244 | Time: 14.39s | LR: 1.6384000000000008e-05
Epoch: 36/500 | Train Loss: 0.111115 | Time: 14.92s | LR: 1.6384000000000008e-05
Epoch: 37/500 | Train Loss: 0.111110 | Time: 16.26s | LR: 1.6384000000000008e-05
Epoch: 38/500 | Train Loss: 0.110982 | Time: 15.22s | LR: 1.6384000000000008e-05
Epoch: 39/500 | Train Loss: 0.110863 | Time: 15.74s | LR: 1.6384000000000008e-05
Epoch: 40/500 | Train Loss: 0.110879 | Time: 15.21s | LR: 1.3107200000000007e-05
Epoch: 41/500 | Train Loss: 0.110464 | Time: 15.42s | LR: 1.3107200000000007e-05
Epoch: 42/500 | Train Loss: 0.110405 | Time: 16.64s | LR: 1.3107200000000007e-05
Epoch: 43/500 | Train Loss: 0.110298 | Time: 15.15s | LR: 1.3107200000000007e-05
Epoch: 44/500 | Train Loss: 0.110244 | Time: 14.75s | LR: 1.3107200000000007e-05
Epoch: 45/500 | Train Loss: 0.110115 | Time: 15.37s | LR: 1.3107200000000007e-05
Epoch: 46/500 | Train Loss: 0.109990 | Time: 15.33s | LR: 1.0485760000000006e-05
Epoch: 47/500 | Train Loss: 0.109699 | Time: 15.09s | LR: 1.0485760000000006e-05
Epoch: 48/500 | Train Loss: 0.109562 | Time: 15.18s | LR: 1.0485760000000006e-05
Epoch: 49/500 | Train Loss: 0.109459 | Time: 15.47s | LR: 1.0485760000000006e-05
Epoch: 50/500 | Train Loss: 0.109382 | Time: 14.5s | LR: 1.0485760000000006e-05
Epoch: 51/500 | Train Loss: 0.109305 | Time: 15.4s | LR: 1.0485760000000006e-05
