nohup: ignoring input
Device running: cuda
Namespace(n_neurons=200, n_layers=6, epochs=1000, batchsize=20384, lr=7.5e-05, no_decay=False, decay_rate=0.8, decay_at_interval=True, decay_interval=13, datapath='sklearn_isabel_gmm_gpu3.vti', outpath='./models/', exp_path='../logs/', modified_data_path='./data/', dataset_name='3d_data', vti_name='teardrop_sgmm_predicted_vti', vti_path='./data/')

Learning Rate: 7.5e-05
Batch Size: 20384
Decay Rate: 0.8
Max Epochs: 1000
Number of Neurons per Layer: 200
Number of Layers (including input/output): 8
Data Path: sklearn_isabel_gmm_gpu3.vti
Output Path: ./models/
Dataset Name: 3d_data
Vti Name: teardrop_sgmm_predicted_vti
3125000
[array([-1676.6178   , -1997.4468   , -1647.117    , ...,     8.314984 ,
           8.127284 ,     6.0436397], dtype=float32), array([ 440.27466 , -107.938805,  313.3958  , ...,   13.504286,
         12.622265,   11.498494], dtype=float32), array([2243.4917  , 1847.7108  , 2308.378   , ...,   18.162405,
         17.097784,   17.064579], dtype=float32), array([1191.2511   , 1069.7479   , 1168.394    , ...,    2.6560624,
          3.1407812,    3.5096657], dtype=float32), array([919.5287   , 916.3277   , 855.53613  , ...,   2.264912 ,
         2.2893407,   2.6477153], dtype=float32), array([1436.8737   , 1185.6395   , 1059.8845   , ...,    2.7700145,
          2.968583 ,    3.4985223], dtype=float32), array([0.3877157 , 0.22362597, 0.3116703 , ..., 0.3493764 , 0.32889584,
       0.18636838], dtype=float32), array([0.39394596, 0.4762831 , 0.44297755, ..., 0.43543246, 0.3860417 ,
       0.44897652], dtype=float32), array([0.21833834, 0.3000909 , 0.24535213, ..., 0.21519114, 0.28506246,
       0.3646551 ], dtype=float32)]
-1.0 1.0
(3125000, 3)
Dataset Name: 3d_data
Total Variables: 9
Variables Name: ['GMM_Mean0', 'GMM_Mean1', 'GMM_Mean2', 'GMM_Std0', 'GMM_Std1', 'GMM_Std2', 'GMM_Weight0', 'GMM_Weight1', 'GMM_Weight2']

Total Points in Data: 3125000
Dimension of the Dataset: (250, 250, 50)
Number of Dimensions: 3
Coordinate Tensor Shape: torch.Size([3125000, 3])
Scalar Values Tensor Shape: torch.Size([3125000, 9])

###### Data setup is complete, now starting training ######


========================================
Training with 150 neurons
========================================
{'total_vars': 9, 'dim': 3, 'n_neurons': 150, 'n_layers': 8}
MyResidualSirenNet(
  (net_layers): ModuleList(
    (0): SineLayer(
      (linear): Linear(in_features=3, out_features=150, bias=True)
    )
    (1-6): 6 x ResidualSineLayer(
      (linear_1): Linear(in_features=150, out_features=150, bias=True)
      (linear_2): Linear(in_features=150, out_features=150, bias=True)
    )
    (7): Linear(in_features=150, out_features=9, bias=True)
  )
)
Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    lr: 7.5e-05
    maximize: False
    weight_decay: 0
)
MSELoss()
Epoch: 1/1000 | Train Loss: 0.013504 | Time: 14.15s | LR: 7.5e-05
Epoch: 2/1000 | Train Loss: 0.001372 | Time: 15.15s | LR: 7.5e-05
Epoch: 3/1000 | Train Loss: 0.001215 | Time: 13.65s | LR: 7.5e-05
Epoch: 4/1000 | Train Loss: 0.001158 | Time: 14.46s | LR: 7.5e-05
Epoch: 5/1000 | Train Loss: 0.001119 | Time: 13.28s | LR: 7.5e-05
Epoch: 6/1000 | Train Loss: 0.001092 | Time: 13.56s | LR: 7.5e-05
Epoch: 7/1000 | Train Loss: 0.001071 | Time: 14.78s | LR: 7.5e-05
Epoch: 8/1000 | Train Loss: 0.001054 | Time: 15.35s | LR: 7.5e-05
Epoch: 9/1000 | Train Loss: 0.001043 | Time: 14.44s | LR: 7.5e-05
Epoch: 10/1000 | Train Loss: 0.001037 | Time: 14.58s | LR: 7.5e-05
Epoch: 11/1000 | Train Loss: 0.001030 | Time: 14.15s | LR: 7.5e-05
Epoch: 12/1000 | Train Loss: 0.001022 | Time: 13.82s | LR: 7.5e-05
Epoch: 13/1000 | Train Loss: 0.001024 | Time: 14.38s | LR: 5.9999999999999995e-05
Epoch: 14/1000 | Train Loss: 0.001002 | Time: 14.62s | LR: 4.8e-05
Epoch: 15/1000 | Train Loss: 0.000992 | Time: 14.58s | LR: 4.8e-05
Epoch: 16/1000 | Train Loss: 0.000995 | Time: 13.91s | LR: 3.8400000000000005e-05
Epoch: 17/1000 | Train Loss: 0.000982 | Time: 14.98s | LR: 3.8400000000000005e-05
Epoch: 18/1000 | Train Loss: 0.000980 | Time: 14.99s | LR: 3.8400000000000005e-05
Epoch: 19/1000 | Train Loss: 0.000978 | Time: 15.28s | LR: 3.8400000000000005e-05
Epoch: 20/1000 | Train Loss: 0.000977 | Time: 13.82s | LR: 3.8400000000000005e-05
Epoch: 21/1000 | Train Loss: 0.000975 | Time: 13.63s | LR: 3.8400000000000005e-05
Epoch: 22/1000 | Train Loss: 0.000972 | Time: 13.47s | LR: 3.8400000000000005e-05
Epoch: 23/1000 | Train Loss: 0.000972 | Time: 13.31s | LR: 3.8400000000000005e-05
Epoch: 24/1000 | Train Loss: 0.000968 | Time: 12.82s | LR: 3.8400000000000005e-05
Epoch: 25/1000 | Train Loss: 0.000968 | Time: 12.76s | LR: 3.8400000000000005e-05
Epoch: 26/1000 | Train Loss: 0.000966 | Time: 12.84s | LR: 3.8400000000000005e-05
Epoch: 27/1000 | Train Loss: 0.000965 | Time: 12.73s | LR: 3.0720000000000004e-05
Epoch: 28/1000 | Train Loss: 0.000956 | Time: 13.26s | LR: 3.0720000000000004e-05
Epoch: 29/1000 | Train Loss: 0.000954 | Time: 13.03s | LR: 3.0720000000000004e-05
Epoch: 30/1000 | Train Loss: 0.000953 | Time: 13.33s | LR: 3.0720000000000004e-05
Epoch: 31/1000 | Train Loss: 0.000949 | Time: 14.19s | LR: 3.0720000000000004e-05
Epoch: 32/1000 | Train Loss: 0.000947 | Time: 14.19s | LR: 3.0720000000000004e-05
