nohup: ignoring input
Device running: cuda
Namespace(n_neurons=320, n_layers=6, epochs=250, batchsize=512, lr=5e-05, no_decay=False, decay_rate=0.8, decay_at_interval=False, decay_interval=15, datapath='new_gmm.vti', outpath='./models/', exp_path='../logs/', modified_data_path='./data/', dataset_name='gmm_new', vti_name='predict_new_gmm_320.vti', vti_path='./data/')

Learning Rate: 5e-05
Batch Size: 512
Decay Rate: 0.8
Max Epochs: 250
Number of Neurons per Layer: 320
Number of Layers (including input/output): 8
Data Path: new_gmm.vti
Output Path: ./models/
Dataset Name: gmm_new
Vti Name: predict_new_gmm_320.vti
train_gmm_new_6rb_320n_512bs_5e-05lr_Truedecay_0.8dr_decayingAtInterval15
Decay: True
Extracting variables from path: new_gmm.vti

n_pts: 3125000 dim: (250, 250, 50) n_dim: 3 total_arr: 9
Total Variables: 9
Univariate: False
Coordinates Shape: (3125000, 3)
Values Shape: (3125000, 9)
0   -5992.2548828125   101.128173828125
1   -4931.54248046875   4880.267578125
2   -4931.541015625   11329.4013671875
3   0.0010000000474974513   5174.65625
4   0.0016644897405058146   3414.103271484375
5   0.0010000000474974513   5518.3505859375
Dataset Name: gmm_new
Total Variables: 9
Variables Name: ['GMM_Mean0', 'GMM_Mean1', 'GMM_Mean2', 'GMM_Std0', 'GMM_Std1', 'GMM_Std2', 'GMM_Weight0', 'GMM_Weight1', 'GMM_Weight2']

Total Points in Data: 3125000
Dimension of the Dataset: (250, 250, 50)
Number of Dimensions: 3
Coordinate Tensor Shape: torch.Size([3125000, 3])
Scalar Values Tensor Shape: torch.Size([3125000, 9])

###### Data setup is complete, now starting training ######

MyResidualSirenNet(
  (net_layers): ModuleList(
    (0): SineLayer(
      (linear): Linear(in_features=3, out_features=320, bias=True)
    )
    (1-6): 6 x ResidualSineLayer(
      (linear_1): Linear(in_features=320, out_features=320, bias=True)
      (linear_2): Linear(in_features=320, out_features=320, bias=True)
    )
    (7): Linear(in_features=320, out_features=9, bias=True)
  )
)
Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    lr: 5e-05
    maximize: False
    weight_decay: 0
)
MSELoss()

Learning Rate: 5e-05
Max Epochs: 250
Batch Size: 512
Number of Hidden Layers: 6
Number of Neurons per Layer: 320
Decay Rate: 0.8
Rate decays every 15 epochs.

  0%|          | 0/250 [00:00<?, ?it/s]Epoch: 1/250 | Train Loss: 0.002450604224577546 | Time: 124.54s (cuda) | LR: 5e-05
  0%|          | 1/250 [02:04<8:36:51, 124.54s/it]Epoch: 2/250 | Train Loss: 0.003741556778550148 | Time: 119.24s (cuda) | LR: 5e-05
  1%|          | 2/250 [04:03<8:21:54, 121.43s/it]Epoch: 3/250 | Train Loss: 0.005020443350076675 | Time: 119.82s (cuda) | LR: 5e-05
  1%|          | 3/250 [06:03<8:16:52, 120.70s/it]Epoch: 4/250 | Train Loss: 0.005781175103038549 | Time: 120.89s (cuda) | LR: 5e-05
  2%|▏         | 4/250 [08:04<8:15:11, 120.78s/it]Epoch: 5/250 | Train Loss: 0.006106913555413485 | Time: 117.8s (cuda) | LR: 5e-05
  2%|▏         | 5/250 [10:02<8:08:48, 119.71s/it]Epoch: 6/250 | Train Loss: 0.006229893304407597 | Time: 122.42s (cuda) | LR: 5e-05
  2%|▏         | 6/250 [12:04<8:10:34, 120.63s/it]Epoch: 7/250 | Train Loss: 0.006218162830919027 | Time: 117.9s (cuda) | LR: 5e-05
  3%|▎         | 7/250 [14:02<8:04:56, 119.74s/it]Epoch: 8/250 | Train Loss: 0.006145369727164507 | Time: 120.12s (cuda) | LR: 5e-05
  3%|▎         | 8/250 [16:02<8:03:26, 119.86s/it]Epoch: 9/250 | Train Loss: 0.006130584515631199 | Time: 120.22s (cuda) | LR: 5e-05
  4%|▎         | 9/250 [18:03<8:01:53, 119.97s/it]Epoch: 10/250 | Train Loss: 0.006100166123360395 | Time: 118.79s (cuda) | LR: 5e-05
  4%|▍         | 10/250 [20:01<7:58:27, 119.61s/it]Epoch: 11/250 | Train Loss: 0.006150845438241959 | Time: 121.61s (cuda) | LR: 5e-05
  4%|▍         | 11/250 [22:03<7:58:53, 120.23s/it]Epoch: 12/250 | Train Loss: 0.0061215865425765514 | Time: 115.58s (cuda) | LR: 5e-05
  5%|▍         | 12/250 [23:59<7:51:17, 118.81s/it]Epoch: 13/250 | Train Loss: 0.006091490387916565 | Time: 121.29s (cuda) | LR: 5e-05
  5%|▌         | 13/250 [26:00<7:52:17, 119.57s/it]Epoch: 14/250 | Train Loss: 0.006115383002907038 | Time: 119.63s (cuda) | LR: 5e-05
  6%|▌         | 14/250 [27:59<7:50:22, 119.59s/it]Epoch: 15/250 | Train Loss: 0.006088041700422764 | Time: 121.29s (cuda) | LR: 5e-05
  6%|▌         | 15/250 [30:01<7:50:24, 120.10s/it]Epoch: 16/250 | Train Loss: 0.006137415301054716 | Time: 121.55s (cuda) | LR: 4e-05
