nohup: ignoring input
Could not save font_manager cache [Errno 122] Disk quota exceeded
Device running: cuda
Namespace(n_neurons=320, n_layers=6, epochs=200, batchsize=512, lr=5e-05, no_decay=False, decay_rate=0.8, decay_at_interval=True, decay_interval=15, datapath='new_gmm_isabel_week_6.vti', outpath='./models/', exp_path='../logs/', modified_data_path='./data/', dataset_name='3d_data', vti_name='predicted_isabel_7.vti', vti_path='./data/')

Learning Rate: 5e-05
Batch Size: 512
Decay Rate: 0.8
Max Epochs: 200
Number of Neurons per Layer: 320
Number of Layers (including input/output): 8
Data Path: new_gmm_isabel_week_6.vti
Output Path: ./models/
Dataset Name: 3d_data
Vti Name: predicted_isabel_7.vti
train_3d_data_6rb_320n_512bs_5e-05lr_Truedecay_0.8dr_decayingAtInterval15
Decay: True
Extracting variables from path: new_gmm_isabel_week_6.vti

n_pts: 3125000 dim: (250, 250, 50) n_dim: 3 total_arr: 9
Total Variables: 9
Univariate: False
Coordinates Shape: (3125000, 3)
Values Shape: (3125000, 9)
Dataset Name: 3d_data
Total Variables: 9
Variables Name: ['GMM_Mean0', 'GMM_Mean1', 'GMM_Mean2', 'GMM_Std0', 'GMM_Std1', 'GMM_Std2', 'GMM_Weight0', 'GMM_Weight1', 'GMM_Weight2']

Total Points in Data: 3125000
Dimension of the Dataset: (250, 250, 50)
Number of Dimensions: 3
Coordinate Tensor Shape: torch.Size([3125000, 3])
Scalar Values Tensor Shape: torch.Size([3125000, 9])

###### Data setup is complete, now starting training ######

MyResidualSirenNet(
  (net_layers): ModuleList(
    (0): SineLayer(
      (linear): Linear(in_features=3, out_features=320, bias=True)
    )
    (1-6): 6 x ResidualSineLayer(
      (linear_1): Linear(in_features=320, out_features=320, bias=True)
      (linear_2): Linear(in_features=320, out_features=320, bias=True)
    )
    (7): Linear(in_features=320, out_features=9, bias=True)
  )
)
Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    lr: 5e-05
    maximize: False
    weight_decay: 0
)
MSELoss()

Learning Rate: 5e-05
Max Epochs: 200
Batch Size: 512
Number of Hidden Layers: 6
Number of Neurons per Layer: 320
Decay Rate: 0.8
Rate decays every 15 epochs.

  0%|          | 0/200 [00:00<?, ?it/s]  0%|          | 1/200 [02:00<6:38:20, 120.10s/it]Epoch: 1/200 | Total Loss: 0.011810 | Entropy Loss: 1.070037 | Time: 120.1s | LR: 5e-05
  1%|          | 2/200 [03:56<6:29:54, 118.16s/it]Epoch: 2/200 | Total Loss: 0.012026 | Entropy Loss: 1.070040 | Time: 116.79s | LR: 4e-05
  2%|▏         | 3/200 [05:56<6:30:34, 118.96s/it]Epoch: 3/200 | Total Loss: 0.012346 | Entropy Loss: 1.070053 | Time: 119.91s | LR: 3.2000000000000005e-05
  2%|▏         | 4/200 [07:53<6:25:07, 117.90s/it]Epoch: 4/200 | Total Loss: 0.012203 | Entropy Loss: 1.070051 | Time: 116.27s | LR: 3.2000000000000005e-05
  2%|▎         | 5/200 [09:50<6:22:02, 117.55s/it]Epoch: 5/200 | Total Loss: 0.012168 | Entropy Loss: 1.070050 | Time: 116.95s | LR: 3.2000000000000005e-05
  3%|▎         | 6/200 [11:48<6:21:17, 117.93s/it]Epoch: 6/200 | Total Loss: 0.012167 | Entropy Loss: 1.070045 | Time: 118.65s | LR: 3.2000000000000005e-05
  4%|▎         | 7/200 [13:46<6:19:26, 117.96s/it]Epoch: 7/200 | Total Loss: 0.012177 | Entropy Loss: 1.070044 | Time: 118.03s | LR: 2.5600000000000006e-05
  4%|▍         | 8/200 [15:44<6:17:28, 117.96s/it]Epoch: 8/200 | Total Loss: 0.012129 | Entropy Loss: 1.070041 | Time: 117.97s | LR: 2.5600000000000006e-05
  4%|▍         | 9/200 [17:41<6:14:42, 117.71s/it]Epoch: 9/200 | Total Loss: 0.012122 | Entropy Loss: 1.070041 | Time: 117.16s | LR: 2.5600000000000006e-05
  5%|▌         | 10/200 [19:39<6:12:15, 117.56s/it]Epoch: 10/200 | Total Loss: 0.012118 | Entropy Loss: 1.070043 | Time: 117.21s | LR: 2.5600000000000006e-05
  6%|▌         | 11/200 [21:37<6:11:17, 117.87s/it]Epoch: 11/200 | Total Loss: 0.012131 | Entropy Loss: 1.070040 | Time: 118.57s | LR: 2.0480000000000007e-05
  6%|▌         | 12/200 [23:36<6:09:59, 118.08s/it]Epoch: 12/200 | Total Loss: 0.012096 | Entropy Loss: 1.070043 | Time: 118.56s | LR: 2.0480000000000007e-05
  6%|▋         | 13/200 [25:34<6:07:48, 118.01s/it]Epoch: 13/200 | Total Loss: 0.012086 | Entropy Loss: 1.070041 | Time: 117.85s | LR: 2.0480000000000007e-05
  7%|▋         | 14/200 [27:32<6:05:56, 118.05s/it]Epoch: 14/200 | Total Loss: 0.012087 | Entropy Loss: 1.070042 | Time: 118.12s | LR: 1.6384000000000008e-05
  8%|▊         | 15/200 [29:29<6:03:28, 117.88s/it]Epoch: 15/200 | Total Loss: 0.012042 | Entropy Loss: 1.070040 | Time: 117.51s | LR: 1.6384000000000008e-05
  8%|▊         | 16/200 [31:27<6:01:47, 117.98s/it]Epoch: 16/200 | Total Loss: 0.012034 | Entropy Loss: 1.070040 | Time: 118.19s | LR: 1.3107200000000007e-05
  8%|▊         | 17/200 [33:25<5:59:24, 117.84s/it]Epoch: 17/200 | Total Loss: 0.012004 | Entropy Loss: 1.070041 | Time: 117.51s | LR: 1.3107200000000007e-05
  9%|▉         | 18/200 [35:23<5:57:59, 118.02s/it]Epoch: 18/200 | Total Loss: 0.011986 | Entropy Loss: 1.070038 | Time: 118.44s | LR: 1.3107200000000007e-05
 10%|▉         | 19/200 [37:22<5:56:14, 118.09s/it]Epoch: 19/200 | Total Loss: 0.011993 | Entropy Loss: 1.070039 | Time: 118.26s | LR: 1.0485760000000006e-05
 10%|█         | 20/200 [39:20<5:54:37, 118.21s/it]Epoch: 20/200 | Total Loss: 0.011967 | Entropy Loss: 1.070039 | Time: 118.49s | LR: 1.0485760000000006e-05
 10%|█         | 21/200 [41:18<5:52:08, 118.04s/it]Epoch: 21/200 | Total Loss: 0.011963 | Entropy Loss: 1.070037 | Time: 117.63s | LR: 1.0485760000000006e-05
 11%|█         | 22/200 [43:16<5:50:32, 118.16s/it]Epoch: 22/200 | Total Loss: 0.011966 | Entropy Loss: 1.070038 | Time: 118.45s | LR: 8.388608000000005e-06
 12%|█▏        | 23/200 [45:13<5:47:51, 117.92s/it]Epoch: 23/200 | Total Loss: 0.011938 | Entropy Loss: 1.070039 | Time: 117.35s | LR: 8.388608000000005e-06
 12%|█▏        | 24/200 [47:11<5:45:39, 117.84s/it]Epoch: 24/200 | Total Loss: 0.011935 | Entropy Loss: 1.070038 | Time: 117.65s | LR: 8.388608000000005e-06
 12%|█▎        | 25/200 [49:08<5:43:10, 117.66s/it]Epoch: 25/200 | Total Loss: 0.011931 | Entropy Loss: 1.070037 | Time: 117.23s | LR: 8.388608000000005e-06
 13%|█▎        | 26/200 [51:06<5:41:34, 117.79s/it]Epoch: 26/200 | Total Loss: 0.011928 | Entropy Loss: 1.070035 | Time: 118.09s | LR: 8.388608000000005e-06
 14%|█▎        | 27/200 [53:04<5:39:16, 117.67s/it]Epoch: 27/200 | Total Loss: 0.011925 | Entropy Loss: 1.070039 | Time: 117.4s | LR: 8.388608000000005e-06
 14%|█▍        | 28/200 [55:02<5:38:02, 117.92s/it]Epoch: 28/200 | Total Loss: 0.011922 | Entropy Loss: 1.070038 | Time: 118.5s | LR: 8.388608000000005e-06
 14%|█▍        | 29/200 [57:01<5:36:25, 118.04s/it]Epoch: 29/200 | Total Loss: 0.011915 | Entropy Loss: 1.070037 | Time: 118.33s | LR: 8.388608000000005e-06
 15%|█▌        | 30/200 [58:58<5:33:54, 117.85s/it]Epoch: 30/200 | Total Loss: 0.011915 | Entropy Loss: 1.070038 | Time: 117.39s | LR: 8.388608000000005e-06
 16%|█▌        | 31/200 [1:00:57<5:33:07, 118.27s/it]Epoch: 31/200 | Total Loss: 0.011922 | Entropy Loss: 1.070037 | Time: 119.25s | LR: 6.7108864000000044e-06
 16%|█▌        | 32/200 [1:02:55<5:30:33, 118.06s/it]Epoch: 32/200 | Total Loss: 0.011916 | Entropy Loss: 1.070040 | Time: 117.56s | LR: 6.7108864000000044e-06
 16%|█▋        | 33/200 [1:04:55<5:30:02, 118.58s/it]Epoch: 33/200 | Total Loss: 0.011909 | Entropy Loss: 1.070037 | Time: 119.79s | LR: 6.7108864000000044e-06
