nohup: ignoring input
Could not save font_manager cache [Errno 122] Disk quota exceeded
Device running: cuda
Namespace(n_neurons=320, n_layers=6, epochs=200, batchsize=8192, lr=5e-05, no_decay=False, decay_rate=0.8, decay_at_interval=True, decay_interval=15, datapath='new_gmm_isabel_week_6.vti', outpath='./models/', exp_path='../logs/', modified_data_path='./data/', dataset_name='3d_data', vti_name='predicted_isabel_7.vti', vti_path='./data/')

Learning Rate: 5e-05
Batch Size: 8192
Decay Rate: 0.8
Max Epochs: 200
Number of Neurons per Layer: 320
Number of Layers (including input/output): 8
Data Path: new_gmm_isabel_week_6.vti
Output Path: ./models/
Dataset Name: 3d_data
Vti Name: predicted_isabel_7.vti
train_3d_data_6rb_320n_8192bs_5e-05lr_Truedecay_0.8dr_decayingAtInterval15
Decay: True
Extracting variables from path: new_gmm_isabel_week_6.vti

n_pts: 3125000 dim: (250, 250, 50) n_dim: 3 total_arr: 9
Total Variables: 9
Univariate: False
Coordinates Shape: (3125000, 3)
Values Shape: (3125000, 9)
Dataset Name: 3d_data
Total Variables: 9
Variables Name: ['GMM_Mean0', 'GMM_Mean1', 'GMM_Mean2', 'GMM_Std0', 'GMM_Std1', 'GMM_Std2', 'GMM_Weight0', 'GMM_Weight1', 'GMM_Weight2']

Total Points in Data: 3125000
Dimension of the Dataset: (250, 250, 50)
Number of Dimensions: 3
Coordinate Tensor Shape: torch.Size([3125000, 3])
Scalar Values Tensor Shape: torch.Size([3125000, 9])

###### Data setup is complete, now starting training ######

MyResidualSirenNet(
  (net_layers): ModuleList(
    (0): SineLayer(
      (linear): Linear(in_features=3, out_features=320, bias=True)
    )
    (1-6): 6 x ResidualSineLayer(
      (linear_1): Linear(in_features=320, out_features=320, bias=True)
      (linear_2): Linear(in_features=320, out_features=320, bias=True)
    )
    (7): Linear(in_features=320, out_features=9, bias=True)
  )
)
Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    lr: 5e-05
    maximize: False
    weight_decay: 0
)
MSELoss()

Learning Rate: 5e-05
Max Epochs: 200
Batch Size: 8192
Number of Hidden Layers: 6
Number of Neurons per Layer: 320
Decay Rate: 0.8
Rate decays every 15 epochs.


==== Training with 150 Neurons | alpha = 0.1 ====
  0%|          | 0/200 [00:00<?, ?it/s]/usr/local/lib/python3.10/dist-packages/numpy/core/fromnumeric.py:3504: RuntimeWarning: Mean of empty slice.
  return _methods._mean(a, axis=axis, dtype=dtype,
/usr/local/lib/python3.10/dist-packages/numpy/core/_methods.py:129: RuntimeWarning: invalid value encountered in scalar divide
  ret = ret.dtype.type(ret / rcount)
  0%|          | 1/200 [00:20<1:07:53, 20.47s/it]epoch:0 LOSS:0.020665  mean_loss:0.005436  std_loss:0.015060  weights_loss:0.001696  LR:0.000050
  1%|          | 2/200 [00:37<1:00:24, 18.30s/it]epoch:1 LOSS:0.000885  mean_loss:0.000246  std_loss:0.000484  weights_loss:0.001556  LR:0.000050
  2%|▏         | 3/200 [00:55<59:36, 18.15s/it]  epoch:2 LOSS:0.000723  mean_loss:0.000186  std_loss:0.000383  weights_loss:0.001538  LR:0.000050
  2%|▏         | 4/200 [01:13<59:04, 18.08s/it]epoch:3 LOSS:0.000659  mean_loss:0.000162  std_loss:0.000344  weights_loss:0.001531  LR:0.000050
  2%|▎         | 5/200 [01:29<56:53, 17.51s/it]epoch:4 LOSS:0.000627  mean_loss:0.000151  std_loss:0.000323  weights_loss:0.001527  LR:0.000050
  3%|▎         | 6/200 [01:47<56:32, 17.49s/it]epoch:5 LOSS:0.000598  mean_loss:0.000141  std_loss:0.000305  weights_loss:0.001525  LR:0.000050
  4%|▎         | 7/200 [02:04<55:46, 17.34s/it]epoch:6 LOSS:0.000586  mean_loss:0.000137  std_loss:0.000297  weights_loss:0.001523  LR:0.000050
  4%|▍         | 8/200 [02:21<55:26, 17.33s/it]epoch:7 LOSS:0.000569  mean_loss:0.000130  std_loss:0.000286  weights_loss:0.001522  LR:0.000050
  4%|▍         | 9/200 [02:38<54:50, 17.23s/it]epoch:8 LOSS:0.000563  mean_loss:0.000129  std_loss:0.000282  weights_loss:0.001522  LR:0.000050
  5%|▌         | 10/200 [02:55<53:57, 17.04s/it]epoch:9 LOSS:0.000553  mean_loss:0.000124  std_loss:0.000276  weights_loss:0.001521  LR:0.000050
  6%|▌         | 11/200 [03:11<53:28, 16.97s/it]epoch:10 LOSS:0.000545  mean_loss:0.000121  std_loss:0.000272  weights_loss:0.001521  LR:0.000050
  6%|▌         | 12/200 [03:28<52:59, 16.91s/it]epoch:11 LOSS:0.000541  mean_loss:0.000121  std_loss:0.000268  weights_loss:0.001520  LR:0.000050
  6%|▋         | 13/200 [03:44<51:57, 16.67s/it]epoch:12 LOSS:0.000541  mean_loss:0.000120  std_loss:0.000268  weights_loss:0.001520  LR:0.000050
  7%|▋         | 14/200 [04:01<51:38, 16.66s/it]epoch:13 LOSS:0.000534  mean_loss:0.000118  std_loss:0.000264  weights_loss:0.001520  LR:0.000050
  8%|▊         | 15/200 [04:18<51:37, 16.74s/it]epoch:14 LOSS:0.000531  mean_loss:0.000117  std_loss:0.000262  weights_loss:0.001520  LR:0.000050
  8%|▊         | 16/200 [04:35<51:15, 16.71s/it]epoch:15 LOSS:0.000521  mean_loss:0.000113  std_loss:0.000256  weights_loss:0.001520  LR:0.000040
  8%|▊         | 17/200 [04:52<51:26, 16.86s/it]epoch:16 LOSS:0.000504  mean_loss:0.000106  std_loss:0.000246  weights_loss:0.001519  LR:0.000040
  9%|▉         | 18/200 [05:09<51:32, 16.99s/it]epoch:17 LOSS:0.000503  mean_loss:0.000106  std_loss:0.000245  weights_loss:0.001519  LR:0.000040
 10%|▉         | 19/200 [05:25<50:27, 16.73s/it]epoch:18 LOSS:0.000503  mean_loss:0.000105  std_loss:0.000246  weights_loss:0.001520  LR:0.000040
 10%|█         | 20/200 [05:41<49:31, 16.51s/it]epoch:19 LOSS:0.000501  mean_loss:0.000105  std_loss:0.000243  weights_loss:0.001519  LR:0.000040
 10%|█         | 21/200 [05:56<47:57, 16.07s/it]epoch:20 LOSS:0.000499  mean_loss:0.000105  std_loss:0.000242  weights_loss:0.001519  LR:0.000040
 11%|█         | 22/200 [06:13<48:22, 16.30s/it]epoch:21 LOSS:0.000498  mean_loss:0.000104  std_loss:0.000241  weights_loss:0.001519  LR:0.000040
 12%|█▏        | 23/200 [06:30<48:14, 16.36s/it]epoch:22 LOSS:0.000493  mean_loss:0.000103  std_loss:0.000238  weights_loss:0.001519  LR:0.000040
 12%|█▏        | 24/200 [06:46<48:09, 16.42s/it]epoch:23 LOSS:0.000493  mean_loss:0.000102  std_loss:0.000238  weights_loss:0.001519  LR:0.000040
 12%|█▎        | 25/200 [07:02<47:29, 16.28s/it]epoch:24 LOSS:0.000487  mean_loss:0.000101  std_loss:0.000234  weights_loss:0.001519  LR:0.000040
 13%|█▎        | 26/200 [07:19<47:32, 16.39s/it]epoch:25 LOSS:0.000489  mean_loss:0.000101  std_loss:0.000236  weights_loss:0.001519  LR:0.000032
 14%|█▎        | 27/200 [07:35<47:23, 16.44s/it]epoch:26 LOSS:0.000470  mean_loss:0.000093  std_loss:0.000225  weights_loss:0.001519  LR:0.000032
 14%|█▍        | 28/200 [07:52<47:05, 16.43s/it]epoch:27 LOSS:0.000472  mean_loss:0.000094  std_loss:0.000226  weights_loss:0.001519  LR:0.000026
 14%|█▍        | 29/200 [08:08<46:48, 16.42s/it]epoch:28 LOSS:0.000458  mean_loss:0.000090  std_loss:0.000216  weights_loss:0.001519  LR:0.000026
 15%|█▌        | 30/200 [08:25<47:12, 16.66s/it]epoch:29 LOSS:0.000455  mean_loss:0.000087  std_loss:0.000216  weights_loss:0.001519  LR:0.000026
 16%|█▌        | 31/200 [08:41<46:31, 16.52s/it]epoch:30 LOSS:0.000457  mean_loss:0.000089  std_loss:0.000217  weights_loss:0.001519  LR:0.000020
 16%|█▌        | 32/200 [08:58<45:53, 16.39s/it]epoch:31 LOSS:0.000446  mean_loss:0.000084  std_loss:0.000209  weights_loss:0.001519  LR:0.000020
 16%|█▋        | 33/200 [09:15<46:49, 16.82s/it]epoch:32 LOSS:0.000445  mean_loss:0.000084  std_loss:0.000209  weights_loss:0.001519  LR:0.000020
 17%|█▋        | 34/200 [09:34<47:56, 17.33s/it]epoch:33 LOSS:0.000442  mean_loss:0.000083  std_loss:0.000208  weights_loss:0.001519  LR:0.000020
 18%|█▊        | 35/200 [09:52<48:07, 17.50s/it]epoch:34 LOSS:0.000442  mean_loss:0.000083  std_loss:0.000207  weights_loss:0.001519  LR:0.000020
 18%|█▊        | 36/200 [10:08<46:32, 17.03s/it]epoch:35 LOSS:0.000441  mean_loss:0.000083  std_loss:0.000207  weights_loss:0.001519  LR:0.000020
 18%|█▊        | 37/200 [10:25<46:27, 17.10s/it]epoch:36 LOSS:0.000440  mean_loss:0.000082  std_loss:0.000206  weights_loss:0.001519  LR:0.000020
 19%|█▉        | 38/200 [10:42<45:46, 16.95s/it]epoch:37 LOSS:0.000438  mean_loss:0.000082  std_loss:0.000204  weights_loss:0.001519  LR:0.000020
 20%|█▉        | 39/200 [10:59<45:29, 16.95s/it]epoch:38 LOSS:0.000438  mean_loss:0.000082  std_loss:0.000204  weights_loss:0.001519  LR:0.000020
 20%|██        | 40/200 [11:16<45:24, 17.03s/it]epoch:39 LOSS:0.000437  mean_loss:0.000082  std_loss:0.000203  weights_loss:0.001519  LR:0.000020
 20%|██        | 41/200 [11:32<44:12, 16.68s/it]epoch:40 LOSS:0.000433  mean_loss:0.000080  std_loss:0.000202  weights_loss:0.001519  LR:0.000020
 21%|██        | 42/200 [11:48<43:31, 16.53s/it]epoch:41 LOSS:0.000433  mean_loss:0.000080  std_loss:0.000201  weights_loss:0.001519  LR:0.000020
 22%|██▏       | 43/200 [12:04<42:37, 16.29s/it]epoch:42 LOSS:0.000432  mean_loss:0.000080  std_loss:0.000200  weights_loss:0.001519  LR:0.000020
