nohup: ignoring input
Epoch 1/100 | Step 100/11397 | G=48.208, D=0.615
Epoch 1/100 | Step 200/11397 | G=45.316, D=0.581
Epoch 1/100 | Step 300/11397 | G=43.690, D=0.547
Epoch 1/100 | Step 400/11397 | G=42.950, D=0.521
Epoch 1/100 | Step 500/11397 | G=42.198, D=0.507
Epoch 1/100 | Step 600/11397 | G=41.567, D=0.500
Epoch 1/100 | Step 700/11397 | G=41.076, D=0.497
Epoch 1/100 | Step 800/11397 | G=40.810, D=0.493
Epoch 1/100 | Step 900/11397 | G=40.604, D=0.492
Epoch 1/100 | Step 1000/11397 | G=40.452, D=0.491
Epoch 1/100 | Step 1100/11397 | G=40.223, D=0.490
Epoch 1/100 | Step 1200/11397 | G=40.050, D=0.489
Epoch 1/100 | Step 1300/11397 | G=39.854, D=0.489
Epoch 1/100 | Step 1400/11397 | G=39.612, D=0.489
Epoch 1/100 | Step 1500/11397 | G=39.443, D=0.489
Epoch 1/100 | Step 1600/11397 | G=39.296, D=0.489
Epoch 1/100 | Step 1700/11397 | G=39.190, D=0.489
Epoch 1/100 | Step 1800/11397 | G=39.058, D=0.490
Epoch 1/100 | Step 1900/11397 | G=38.928, D=0.491
Epoch 1/100 | Step 2000/11397 | G=38.813, D=0.492
Epoch 1/100 | Step 2100/11397 | G=38.657, D=0.493
Epoch 1/100 | Step 2200/11397 | G=38.556, D=0.493
Epoch 1/100 | Step 2300/11397 | G=38.464, D=0.494
Epoch 1/100 | Step 2400/11397 | G=38.358, D=0.495
Epoch 1/100 | Step 2500/11397 | G=38.285, D=0.495
Epoch 1/100 | Step 2600/11397 | G=38.184, D=0.496
Epoch 1/100 | Step 2700/11397 | G=38.100, D=0.497
Epoch 1/100 | Step 2800/11397 | G=37.982, D=0.497
Epoch 1/100 | Step 2900/11397 | G=37.880, D=0.498
Epoch 1/100 | Step 3000/11397 | G=37.808, D=0.499
Epoch 1/100 | Step 3100/11397 | G=37.734, D=0.499
Epoch 1/100 | Step 3200/11397 | G=37.648, D=0.501
Epoch 1/100 | Step 3300/11397 | G=37.570, D=0.501
Epoch 1/100 | Step 3400/11397 | G=37.514, D=0.502
Epoch 1/100 | Step 3500/11397 | G=37.415, D=0.502
Epoch 1/100 | Step 3600/11397 | G=37.356, D=0.502
Epoch 1/100 | Step 3700/11397 | G=37.296, D=0.503
Epoch 1/100 | Step 3800/11397 | G=37.216, D=0.504
Epoch 1/100 | Step 3900/11397 | G=37.145, D=0.504
Epoch 1/100 | Step 4000/11397 | G=37.086, D=0.505
Epoch 1/100 | Step 4100/11397 | G=37.008, D=0.505
Epoch 1/100 | Step 4200/11397 | G=36.970, D=0.505
/data/tsudhakar24/gan_project/second_pix2pix.py:245: RuntimeWarning: More than 20 figures have been opened. Figures created through the pyplot interface (`matplotlib.pyplot.figure`) are retained until explicitly closed and may consume too much memory. (To control this warning, see the rcParam `figure.max_open_warning`). Consider using `matplotlib.pyplot.close()`.
  plt.figure(figsize=(8,8))
Epoch 1/100 | Step 4300/11397 | G=36.919, D=0.505
Epoch 1/100 | Step 4400/11397 | G=36.869, D=0.506
Epoch 1/100 | Step 4500/11397 | G=36.816, D=0.506
Epoch 1/100 | Step 4600/11397 | G=36.759, D=0.507
Epoch 1/100 | Step 4700/11397 | G=36.695, D=0.507
Epoch 1/100 | Step 4800/11397 | G=36.636, D=0.507
Epoch 1/100 | Step 4900/11397 | G=36.582, D=0.508
Epoch 1/100 | Step 5000/11397 | G=36.525, D=0.508
Epoch 1/100 | Step 5100/11397 | G=36.465, D=0.509
Epoch 1/100 | Step 5200/11397 | G=36.422, D=0.509
Epoch 1/100 | Step 5300/11397 | G=36.374, D=0.509
Epoch 1/100 | Step 5400/11397 | G=36.318, D=0.510
Epoch 1/100 | Step 5500/11397 | G=36.272, D=0.510
Epoch 1/100 | Step 5600/11397 | G=36.213, D=0.511
Epoch 1/100 | Step 5700/11397 | G=36.165, D=0.511
Epoch 1/100 | Step 5800/11397 | G=36.109, D=0.511
Epoch 1/100 | Step 5900/11397 | G=36.061, D=0.512
Epoch 1/100 | Step 6000/11397 | G=36.026, D=0.512
Epoch 1/100 | Step 6100/11397 | G=35.979, D=0.512
Epoch 1/100 | Step 6200/11397 | G=35.931, D=0.512
Epoch 1/100 | Step 6300/11397 | G=35.888, D=0.512
Epoch 1/100 | Step 6400/11397 | G=35.849, D=0.513
Epoch 1/100 | Step 6500/11397 | G=35.809, D=0.513
Epoch 1/100 | Step 6600/11397 | G=35.764, D=0.513
Epoch 1/100 | Step 6700/11397 | G=35.724, D=0.513
Epoch 1/100 | Step 6800/11397 | G=35.676, D=0.514
Epoch 1/100 | Step 6900/11397 | G=35.641, D=0.514
Epoch 1/100 | Step 7000/11397 | G=35.599, D=0.514
Epoch 1/100 | Step 7100/11397 | G=35.569, D=0.514
Epoch 1/100 | Step 7200/11397 | G=35.530, D=0.515
Epoch 1/100 | Step 7300/11397 | G=35.490, D=0.515
Epoch 1/100 | Step 7400/11397 | G=35.457, D=0.515
Epoch 1/100 | Step 7500/11397 | G=35.418, D=0.515
Epoch 1/100 | Step 7600/11397 | G=35.381, D=0.516
Epoch 1/100 | Step 7700/11397 | G=35.351, D=0.516
Epoch 1/100 | Step 7800/11397 | G=35.311, D=0.516
Epoch 1/100 | Step 7900/11397 | G=35.277, D=0.516
Epoch 1/100 | Step 8000/11397 | G=35.234, D=0.517
Epoch 1/100 | Step 8100/11397 | G=35.195, D=0.517
Epoch 1/100 | Step 8200/11397 | G=35.160, D=0.517
Epoch 1/100 | Step 8300/11397 | G=35.122, D=0.518
Epoch 1/100 | Step 8400/11397 | G=35.092, D=0.518
Epoch 1/100 | Step 8500/11397 | G=35.057, D=0.518
Epoch 1/100 | Step 8600/11397 | G=35.031, D=0.518
Epoch 1/100 | Step 8700/11397 | G=34.994, D=0.518
Epoch 1/100 | Step 8800/11397 | G=34.959, D=0.519
Epoch 1/100 | Step 8900/11397 | G=34.921, D=0.519
Epoch 1/100 | Step 9000/11397 | G=34.891, D=0.519
Epoch 1/100 | Step 9100/11397 | G=34.851, D=0.519
Epoch 1/100 | Step 9200/11397 | G=34.820, D=0.519
Epoch 1/100 | Step 9300/11397 | G=34.784, D=0.519
Epoch 1/100 | Step 9400/11397 | G=34.750, D=0.520
